year;country_code;country;sector_nace_r2;employment_thousand_persons;employment_persons;data_flag;sex;age;source_id;dataset_id;source;unit
2015;PT;Portugal;"Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use";116.5;116500.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2015;PT;Portugal;Administrative and support service activities;154.7;154700.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2015;PT;Portugal;Agriculture, forestry and fishing;344.7;344700.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2015;PT;Portugal;Arts, entertainment and recreation;67.8;67800.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2015;PT;Portugal;Construction;277.6;277600.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2015;PT;Portugal;Education;380.7;380700.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2015;PT;Portugal;Electricity, gas, steam and air conditioning supply;19.0;19000.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2015;PT;Portugal;Financial and insurance activities;109.1;109100.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2015;PT;Portugal;Human health and social work activities;403.7;403700.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2015;PT;Portugal;Information and communication;104.3;104300.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2015;PT;Portugal;Manufacturing;766.6;766600.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2015;PT;Portugal;Mining and quarrying;12.3;12300.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2015;PT;Portugal;Other service activities;104.0;104000.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2015;PT;Portugal;Professional, scientific and technical activities;194.6;194600.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2015;PT;Portugal;"Public administration and defence; compulsory social security";306.8;306800.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2015;PT;Portugal;Real estate activities;28.0;28000.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2015;PT;Portugal;Transportation and storage;173.0;173000.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2015;PT;Portugal;"Water supply; sewerage, waste management and remediation activities";29.1;29100.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
